HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
37.0,37.3321,-0.00005,3.93307e+01,3.93308e+01,3.93306e+01,3.93307e+01,2.27988e-08,2.12987e-08,2.49843e-08,2.32160e-08
37.0,37.3326,-0.00120,3.93314e+01,3.93312e+01,3.93311e+01,3.93312e+01,2.05636e-08,2.27292e-08,2.56499e-08,2.28683e-08
37.0,37.3333,0.00045,3.93319e+01,3.93320e+01,3.93321e+01,3.93322e+01,2.31365e-08,2.10404e-08,1.92424e-08,1.84774e-08
37.0,37.334,0.00085,3.93333e+01,3.93327e+01,3.93327e+01,3.93327e+01,1.24474e-08,2.18550e-08,2.21531e-08,2.12888e-08
37.0,37.3331,0.00015,3.93320e+01,3.93315e+01,3.93319e+01,3.93320e+01,1.75138e-08,2.69612e-08,1.96397e-08,1.88847e-08
37.0,37.3328,-0.00070,3.93317e+01,3.93319e+01,3.93316e+01,3.93317e+01,1.80801e-08,1.57058e-08,2.00172e-08,1.78317e-08
37.0,37.3328,-0.00025,3.93317e+01,3.93316e+01,3.93315e+01,3.93317e+01,1.87655e-08,2.00868e-08,2.18252e-08,1.83284e-08
37.0,37.3325,-0.00035,3.93314e+01,3.93313e+01,3.93310e+01,3.93311e+01,1.78516e-08,1.95503e-08,2.56399e-08,2.28286e-08
37.0,37.3333,0.00035,3.93321e+01,3.93319e+01,3.93320e+01,3.93326e+01,1.99676e-08,2.29180e-08,2.23219e-08,1.22190e-08
37.0,37.3323,-0.00030,3.93312e+01,3.93310e+01,3.93309e+01,3.93311e+01,1.84675e-08,2.12888e-08,2.31465e-08,2.00470e-08
