Ch 	 mean(nA) 	 sd(nA) 
1	22.15802	3.300811196189338
2	23.83788	2.5284610100920193
3	22.2663	2.458615397603564
4	22.62395	3.2615009268910393
5	20.81295	4.372467902747322
6	23.49913	2.32847971386673
7	21.11693	2.2881397806223873
8	24.257109999999997	2.7882474887961033
9	19.29104	3.7374104199446863
10	24.092189999999995	2.966350567972557
11	22.28915	4.6145862347921645
12	22.64679	2.1978057483923976
13	19.38641	2.2178611901509484
14	22.931900000000002	2.829490177085303
15	21.87987	3.038673663166583
16	22.05075	1.2901769381238632
